Lesson ID,CEFR Level,Major Domain,Scenario,English Lesson Title,Vietnamese Lesson Title,Primary Communication Goal,EN Word Target,Actual Bilingual A4 Page Target,Main Character,Secondary Character Rule,Status
1149,B1,Travel Problems,checking an important detail about travel problems & changes,Dealing with an everyday problem involving checking an important detail about travel problems & changes,Xử lý tình huống thực tế: travel problems & changes — checking an important detail about travel problems & changes,deal with an everyday problem involving checking an important detail about travel problems & changes; complete the exchange naturally at B1.,520–700,4,Ms Lan,Mr Daniel (or another context-appropriate named Mr/Ms character),PLANNED
1150,B1,Problems,checking an important detail about lost property & missing items,Dealing with an everyday problem involving checking an important detail about lost property & missing items,Xử lý tình huống thực tế: lost property & missing items — checking an important detail about lost property & missing items,deal with an everyday problem involving checking an important detail about lost property & missing items; complete the exchange naturally at B1.,520–700,4,Ms Lan,Ms Olivia (or another context-appropriate named Mr/Ms character),PLANNED
1151,B1,Emergencies,checking an important detail about emergencies & asking for help,Dealing with an everyday problem involving checking an important detail about emergencies & asking for help,Xử lý tình huống thực tế: emergencies & asking for help — checking an important detail about emergencies & asking for help,deal with an everyday problem involving checking an important detail about emergencies & asking for help; complete the exchange naturally at B1.,520–700,4,Ms Lan,Mr Thomas (or another context-appropriate named Mr/Ms character),PLANNED
1152,B1,Public Life,"checking an important detail about rules, permission & public places","Dealing with an everyday problem involving checking an important detail about rules, permission & public places","Xử lý tình huống thực tế: rules, permission & public places — checking an important detail about rules, permission & public places","deal with an everyday problem involving checking an important detail about rules, permission & public places; complete the exchange naturally at B1.",520–700,4,Ms Lan,Ms Sophie (or another context-appropriate named Mr/Ms character),PLANNED
1153,B1,Housing,checking an important detail about renting & moving home,Dealing with an everyday problem involving checking an important detail about renting & moving home,Xử lý tình huống thực tế: renting & moving home — checking an important detail about renting & moving home,deal with an everyday problem involving checking an important detail about renting & moving home; complete the exchange naturally at B1.,520–700,4,Ms Lan,Mr Michael (or another context-appropriate named Mr/Ms character),PLANNED
1154,B1,Housing,checking an important detail about utilities & household bills,Dealing with an everyday problem involving checking an important detail about utilities & household bills,Xử lý tình huống thực tế: utilities & household bills — checking an important detail about utilities & household bills,deal with an everyday problem involving checking an important detail about utilities & household bills; complete the exchange naturally at B1.,520–700,4,Ms Lan,Ms Grace (or another context-appropriate named Mr/Ms character),PLANNED
1155,B1,Public Services,checking an important detail about government/public services,Dealing with an everyday problem involving checking an important detail about government/public services,Xử lý tình huống thực tế: government/public services — checking an important detail about government/public services,deal with an everyday problem involving checking an important detail about government/public services; complete the exchange naturally at B1.,520–700,4,Ms Lan,Mr Henry (or another context-appropriate named Mr/Ms character),PLANNED
1156,B1,Culture,checking an important detail about cultural differences & etiquette,Dealing with an everyday problem involving checking an important detail about cultural differences & etiquette,Xử lý tình huống thực tế: cultural differences & etiquette — checking an important detail about cultural differences & etiquette,deal with an everyday problem involving checking an important detail about cultural differences & etiquette; complete the exchange naturally at B1.,520–700,4,Ms Lan,Ms Anna (or another context-appropriate named Mr/Ms character),PLANNED
1157,B1,Interaction,checking an important detail about opinions & preferences,Dealing with an everyday problem involving checking an important detail about opinions & preferences,Xử lý tình huống thực tế: opinions & preferences — checking an important detail about opinions & preferences,deal with an everyday problem involving checking an important detail about opinions & preferences; complete the exchange naturally at B1.,520–700,4,Ms Lan,Mr David (or another context-appropriate named Mr/Ms character),PLANNED
1158,B1,Interaction,"checking an important detail about plans, decisions & changes","Dealing with an everyday problem involving checking an important detail about plans, decisions & changes","Xử lý tình huống thực tế: plans, decisions & changes — checking an important detail about plans, decisions & changes","deal with an everyday problem involving checking an important detail about plans, decisions & changes; complete the exchange naturally at B1.",520–700,4,Ms Lan,Ms Emma (or another context-appropriate named Mr/Ms character),PLANNED
1159,B1,Interaction,checking an important detail about explaining experiences & stories,Dealing with an everyday problem involving checking an important detail about explaining experiences & stories,Xử lý tình huống thực tế: explaining experiences & stories — checking an important detail about explaining experiences & stories,deal with an everyday problem involving checking an important detail about explaining experiences & stories; complete the exchange naturally at B1.,520–700,4,Ms Lan,Mr James (or another context-appropriate named Mr/Ms character),PLANNED
1160,B1,Interaction,checking an important detail about clarifying & repairing communication,Dealing with an everyday problem involving checking an important detail about clarifying & repairing communication,Xử lý tình huống thực tế: clarifying & repairing communication — checking an important detail about clarifying & repairing communication,deal with an everyday problem involving checking an important detail about clarifying & repairing communication; complete the exchange naturally at B1.,520–700,4,Ms Lan,Ms Sarah (or another context-appropriate named Mr/Ms character),PLANNED
1161,B1,Interaction,checking an important detail about disagreement & boundaries,Dealing with an everyday problem involving checking an important detail about disagreement & boundaries,Xử lý tình huống thực tế: disagreement & boundaries — checking an important detail about disagreement & boundaries,deal with an everyday problem involving checking an important detail about disagreement & boundaries; complete the exchange naturally at B1.,520–700,4,Ms Lan,Mr Daniel (or another context-appropriate named Mr/Ms character),PLANNED
1162,B1,Interaction,checking an important detail about negotiation & compromise,Dealing with an everyday problem involving checking an important detail about negotiation & compromise,Xử lý tình huống thực tế: negotiation & compromise — checking an important detail about negotiation & compromise,deal with an everyday problem involving checking an important detail about negotiation & compromise; complete the exchange naturally at B1.,520–700,4,Ms Lan,Ms Olivia (or another context-appropriate named Mr/Ms character),PLANNED
1163,B1,Interaction,checking an important detail about unexpected situations & problem solving,Dealing with an everyday problem involving checking an important detail about unexpected situations & problem solving,Xử lý tình huống thực tế: unexpected situations & problem solving — checking an important detail about unexpected situations & problem solving,deal with an everyday problem involving checking an important detail about unexpected situations & problem solving; complete the exchange naturally at B1.,520–700,4,Ms Lan,Mr Thomas (or another context-appropriate named Mr/Ms character),PLANNED
1164,B1,Society,checking an important detail about news & everyday current events,Dealing with an everyday problem involving checking an important detail about news & everyday current events,Xử lý tình huống thực tế: news & everyday current events — checking an important detail about news & everyday current events,deal with an everyday problem involving checking an important detail about news & everyday current events; complete the exchange naturally at B1.,520–700,4,Ms Lan,Ms Sophie (or another context-appropriate named Mr/Ms character),PLANNED
1165,B1,Society,checking an important detail about environment & local issues,Dealing with an everyday problem involving checking an important detail about environment & local issues,Xử lý tình huống thực tế: environment & local issues — checking an important detail about environment & local issues,deal with an everyday problem involving checking an important detail about environment & local issues; complete the exchange naturally at B1.,520–700,4,Ms Lan,Mr Michael (or another context-appropriate named Mr/Ms character),PLANNED
1166,B1,Personal Identity,where you live,Dealing with an everyday problem involving where you live,Xử lý tình huống thực tế: personal identity & introductions — where you live,deal with an everyday problem involving where you live; complete the exchange naturally at B1.,520–700,4,Ms Lan,Ms Grace (or another context-appropriate named Mr/Ms character),PLANNED
1167,B1,Social Basics,saying thank you,Dealing with an everyday problem involving saying thank you,Xử lý tình huống thực tế: greetings & basic social contact — saying thank you,deal with an everyday problem involving saying thank you; complete the exchange naturally at B1.,520–700,4,Ms Lan,Mr Henry (or another context-appropriate named Mr/Ms character),PLANNED
1168,B1,Numbers and Time,today's date,Dealing with an everyday problem involving today's date,"Xử lý tình huống thực tế: numbers, dates & time — today's date",deal with an everyday problem involving today's date; complete the exchange naturally at B1.,520–700,4,Ms Lan,Ms Anna (or another context-appropriate named Mr/Ms character),PLANNED
1169,B1,Home,something you need at home,Dealing with an everyday problem involving something you need at home,Xử lý tình huống thực tế: home & household — something you need at home,deal with an everyday problem involving something you need at home; complete the exchange naturally at B1.,520–700,4,Ms Lan,Mr David (or another context-appropriate named Mr/Ms character),PLANNED
1170,B1,Family,a simple family relationship,Dealing with an everyday problem involving a simple family relationship,Xử lý tình huống thực tế: family & relationships — a simple family relationship,deal with an everyday problem involving a simple family relationship; complete the exchange naturally at B1.,520–700,4,Ms Lan,Ms Emma (or another context-appropriate named Mr/Ms character),PLANNED
1171,B1,Food,saying you are hungry or thirsty,Dealing with an everyday problem involving saying you are hungry or thirsty,Xử lý tình huống thực tế: food & drink — saying you are hungry or thirsty,deal with an everyday problem involving saying you are hungry or thirsty; complete the exchange naturally at B1.,520–700,4,Ms Lan,Mr James (or another context-appropriate named Mr/Ms character),PLANNED
1172,B1,Shopping,asking for help with shopping & payments,Dealing with an everyday problem involving asking for help with shopping & payments,Xử lý tình huống thực tế: shopping & payments — asking for help with shopping & payments,deal with an everyday problem involving asking for help with shopping & payments; complete the exchange naturally at B1.,520–700,4,Ms Lan,Ms Sarah (or another context-appropriate named Mr/Ms character),PLANNED
1173,B1,Clothing,asking for help with clothing & personal items,Dealing with an everyday problem involving asking for help with clothing & personal items,Xử lý tình huống thực tế: clothing & personal items — asking for help with clothing & personal items,deal with an everyday problem involving asking for help with clothing & personal items; complete the exchange naturally at B1.,520–700,4,Ms Lan,Mr Daniel (or another context-appropriate named Mr/Ms character),PLANNED
1174,B1,Neighbourhood,asking for help with neighbourhood & directions,Dealing with an everyday problem involving asking for help with neighbourhood & directions,Xử lý tình huống thực tế: neighbourhood & directions — asking for help with neighbourhood & directions,deal with an everyday problem involving asking for help with neighbourhood & directions; complete the exchange naturally at B1.,520–700,4,Ms Lan,Ms Olivia (or another context-appropriate named Mr/Ms character),PLANNED
1175,B1,Transport,asking for help with public transport,Dealing with an everyday problem involving asking for help with public transport,Xử lý tình huống thực tế: public transport — asking for help with public transport,deal with an everyday problem involving asking for help with public transport; complete the exchange naturally at B1.,520–700,4,Ms Lan,Mr Thomas (or another context-appropriate named Mr/Ms character),PLANNED
1176,B1,Transport,asking for help with taxi & ride services,Dealing with an everyday problem involving asking for help with taxi & ride services,Xử lý tình huống thực tế: taxi & ride services — asking for help with taxi & ride services,deal with an everyday problem involving asking for help with taxi & ride services; complete the exchange naturally at B1.,520–700,4,Ms Lan,Ms Sophie (or another context-appropriate named Mr/Ms character),PLANNED
1177,B1,Mobility,asking for help with walking & getting around,Dealing with an everyday problem involving asking for help with walking & getting around,Xử lý tình huống thực tế: walking & getting around — asking for help with walking & getting around,deal with an everyday problem involving asking for help with walking & getting around; complete the exchange naturally at B1.,520–700,4,Ms Lan,Mr Michael (or another context-appropriate named Mr/Ms character),PLANNED
1178,B1,Weather,asking for help with weather & daily plans,Dealing with an everyday problem involving asking for help with weather & daily plans,Xử lý tình huống thực tế: weather & daily plans — asking for help with weather & daily plans,deal with an everyday problem involving asking for help with weather & daily plans; complete the exchange naturally at B1.,520–700,4,Ms Lan,Ms Grace (or another context-appropriate named Mr/Ms character),PLANNED
1179,B1,Daily Life,asking for help with daily routines,Dealing with an everyday problem involving asking for help with daily routines,Xử lý tình huống thực tế: daily routines — asking for help with daily routines,deal with an everyday problem involving asking for help with daily routines; complete the exchange naturally at B1.,520–700,4,Ms Lan,Mr Henry (or another context-appropriate named Mr/Ms character),PLANNED
1180,B1,Learning,asking for help with school & learning,Dealing with an everyday problem involving asking for help with school & learning,Xử lý tình huống thực tế: school & learning — asking for help with school & learning,deal with an everyday problem involving asking for help with school & learning; complete the exchange naturally at B1.,520–700,4,Ms Lan,Ms Anna (or another context-appropriate named Mr/Ms character),PLANNED
1181,B1,Work,asking for help with workplace everyday communication,Dealing with an everyday problem involving asking for help with workplace everyday communication,Xử lý tình huống thực tế: workplace everyday communication — asking for help with workplace everyday communication,deal with an everyday problem involving asking for help with workplace everyday communication; complete the exchange naturally at B1.,520–700,4,Ms Lan,Mr David (or another context-appropriate named Mr/Ms character),PLANNED
1182,B1,Communication,asking for help with phone calls,Dealing with an everyday problem involving asking for help with phone calls,Xử lý tình huống thực tế: phone calls — asking for help with phone calls,deal with an everyday problem involving asking for help with phone calls; complete the exchange naturally at B1.,520–700,4,Ms Lan,Ms Emma (or another context-appropriate named Mr/Ms character),PLANNED
1183,B1,Communication,asking for help with messages & everyday digital communication,Dealing with an everyday problem involving asking for help with messages & everyday digital communication,Xử lý tình huống thực tế: messages & everyday digital communication — asking for help with messages & everyday digital communication,deal with an everyday problem involving asking for help with messages & everyday digital communication; complete the exchange naturally at B1.,520–700,4,Ms Lan,Mr James (or another context-appropriate named Mr/Ms character),PLANNED
1184,B1,Scheduling,asking for help with appointments & schedules,Dealing with an everyday problem involving asking for help with appointments & schedules,Xử lý tình huống thực tế: appointments & schedules — asking for help with appointments & schedules,deal with an everyday problem involving asking for help with appointments & schedules; complete the exchange naturally at B1.,520–700,4,Ms Lan,Ms Sarah (or another context-appropriate named Mr/Ms character),PLANNED
1185,B1,Eating Out,asking for help with restaurants & cafés,Dealing with an everyday problem involving asking for help with restaurants & cafés,Xử lý tình huống thực tế: restaurants & cafés — asking for help with restaurants & cafés,deal with an everyday problem involving asking for help with restaurants & cafés; complete the exchange naturally at B1.,520–700,4,Ms Lan,Mr Daniel (or another context-appropriate named Mr/Ms character),PLANNED
1186,B1,Travel,asking for help with hotels & accommodation,Dealing with an everyday problem involving asking for help with hotels & accommodation,Xử lý tình huống thực tế: hotels & accommodation — asking for help with hotels & accommodation,deal with an everyday problem involving asking for help with hotels & accommodation; complete the exchange naturally at B1.,520–700,4,Ms Lan,Ms Olivia (or another context-appropriate named Mr/Ms character),PLANNED
1187,B1,Travel,asking for help with airports & flights,Dealing with an everyday problem involving asking for help with airports & flights,Xử lý tình huống thực tế: airports & flights — asking for help with airports & flights,deal with an everyday problem involving asking for help with airports & flights; complete the exchange naturally at B1.,520–700,4,Ms Lan,Mr Thomas (or another context-appropriate named Mr/Ms character),PLANNED
1188,B1,Travel,asking for help with train & coach travel,Dealing with an everyday problem involving asking for help with train & coach travel,Xử lý tình huống thực tế: train & coach travel — asking for help with train & coach travel,deal with an everyday problem involving asking for help with train & coach travel; complete the exchange naturally at B1.,520–700,4,Ms Lan,Ms Sophie (or another context-appropriate named Mr/Ms character),PLANNED
1189,B1,Driving,"asking for help with driving, parking & fuel","Dealing with an everyday problem involving asking for help with driving, parking & fuel","Xử lý tình huống thực tế: driving, parking & fuel — asking for help with driving, parking & fuel","deal with an everyday problem involving asking for help with driving, parking & fuel; complete the exchange naturally at B1.",520–700,4,Ms Lan,Mr Michael (or another context-appropriate named Mr/Ms character),PLANNED
1190,B1,Health Services,asking for help with health services & pharmacy,Dealing with an everyday problem involving asking for help with health services & pharmacy,Xử lý tình huống thực tế: health services & pharmacy — asking for help with health services & pharmacy,deal with an everyday problem involving asking for help with health services & pharmacy; complete the exchange naturally at B1.,520–700,4,Ms Lan,Ms Grace (or another context-appropriate named Mr/Ms character),PLANNED
1191,B1,Wellbeing,asking for help with fitness & wellbeing routines,Dealing with an everyday problem involving asking for help with fitness & wellbeing routines,Xử lý tình huống thực tế: fitness & wellbeing routines — asking for help with fitness & wellbeing routines,deal with an everyday problem involving asking for help with fitness & wellbeing routines; complete the exchange naturally at B1.,520–700,4,Ms Lan,Mr Henry (or another context-appropriate named Mr/Ms character),PLANNED
1192,B1,Services,asking for help with personal care services,Dealing with an everyday problem involving asking for help with personal care services,Xử lý tình huống thực tế: personal care services — asking for help with personal care services,deal with an everyday problem involving asking for help with personal care services; complete the exchange naturally at B1.,520–700,4,Ms Lan,Ms Anna (or another context-appropriate named Mr/Ms character),PLANNED
1193,B1,Money,asking for help with banking & everyday money,Dealing with an everyday problem involving asking for help with banking & everyday money,Xử lý tình huống thực tế: banking & everyday money — asking for help with banking & everyday money,deal with an everyday problem involving asking for help with banking & everyday money; complete the exchange naturally at B1.,520–700,4,Ms Lan,Mr David (or another context-appropriate named Mr/Ms character),PLANNED
1194,B1,Services,"asking for help with post, courier & deliveries","Dealing with an everyday problem involving asking for help with post, courier & deliveries","Xử lý tình huống thực tế: post, courier & deliveries — asking for help with post, courier & deliveries","deal with an everyday problem involving asking for help with post, courier & deliveries; complete the exchange naturally at B1.",520–700,4,Ms Lan,Ms Emma (or another context-appropriate named Mr/Ms character),PLANNED
1195,B1,Services,asking for help with repairs & home services,Dealing with an everyday problem involving asking for help with repairs & home services,Xử lý tình huống thực tế: repairs & home services — asking for help with repairs & home services,deal with an everyday problem involving asking for help with repairs & home services; complete the exchange naturally at B1.,520–700,4,Ms Lan,Mr James (or another context-appropriate named Mr/Ms character),PLANNED
1196,B1,Customer Service,asking for help with customer service & complaints,Dealing with an everyday problem involving asking for help with customer service & complaints,Xử lý tình huống thực tế: customer service & complaints — asking for help with customer service & complaints,deal with an everyday problem involving asking for help with customer service & complaints; complete the exchange naturally at B1.,520–700,4,Ms Lan,Ms Sarah (or another context-appropriate named Mr/Ms character),PLANNED
1197,B1,Technology,asking for help with technology & devices,Dealing with an everyday problem involving asking for help with technology & devices,Xử lý tình huống thực tế: technology & devices — asking for help with technology & devices,deal with an everyday problem involving asking for help with technology & devices; complete the exchange naturally at B1.,520–700,4,Ms Lan,Mr Daniel (or another context-appropriate named Mr/Ms character),PLANNED
1198,B1,Technology,asking for help with internet & online accounts,Dealing with an everyday problem involving asking for help with internet & online accounts,Xử lý tình huống thực tế: internet & online accounts — asking for help with internet & online accounts,deal with an everyday problem involving asking for help with internet & online accounts; complete the exchange naturally at B1.,520–700,4,Ms Lan,Ms Olivia (or another context-appropriate named Mr/Ms character),PLANNED
1199,B1,Leisure,asking for help with entertainment & events,Dealing with an everyday problem involving asking for help with entertainment & events,Xử lý tình huống thực tế: entertainment & events — asking for help with entertainment & events,deal with an everyday problem involving asking for help with entertainment & events; complete the exchange naturally at B1.,520–700,4,Ms Lan,Mr Thomas (or another context-appropriate named Mr/Ms character),PLANNED
1200,B1,Leisure,asking for help with sports & hobbies,Dealing with an everyday problem involving asking for help with sports & hobbies,Xử lý tình huống thực tế: sports & hobbies — asking for help with sports & hobbies,deal with an everyday problem involving asking for help with sports & hobbies; complete the exchange naturally at B1.,520–700,4,Ms Lan,Ms Sophie (or another context-appropriate named Mr/Ms character),PLANNED
1201,B1,Relationships,asking for help with friends & social plans,Dealing with an everyday problem involving asking for help with friends & social plans,Xử lý tình huống thực tế: friends & social plans — asking for help with friends & social plans,deal with an everyday problem involving asking for help with friends & social plans; complete the exchange naturally at B1.,520–700,4,Ms Lan,Mr Michael (or another context-appropriate named Mr/Ms character),PLANNED
1202,B1,Social Life,asking for help with invitations & visits,Dealing with an everyday problem involving asking for help with invitations & visits,Xử lý tình huống thực tế: invitations & visits — asking for help with invitations & visits,deal with an everyday problem involving asking for help with invitations & visits; complete the exchange naturally at B1.,520–700,4,Ms Lan,Ms Grace (or another context-appropriate named Mr/Ms character),PLANNED
1203,B1,Community,asking for help with community & neighbours,Dealing with an everyday problem involving asking for help with community & neighbours,Xử lý tình huống thực tế: community & neighbours — asking for help with community & neighbours,deal with an everyday problem involving asking for help with community & neighbours; complete the exchange naturally at B1.,520–700,4,Ms Lan,Mr Henry (or another context-appropriate named Mr/Ms character),PLANNED
1204,B1,Travel Problems,asking for help with travel problems & changes,Dealing with an everyday problem involving asking for help with travel problems & changes,Xử lý tình huống thực tế: travel problems & changes — asking for help with travel problems & changes,deal with an everyday problem involving asking for help with travel problems & changes; complete the exchange naturally at B1.,520–700,4,Ms Lan,Ms Anna (or another context-appropriate named Mr/Ms character),PLANNED
1205,B1,Problems,asking for help with lost property & missing items,Dealing with an everyday problem involving asking for help with lost property & missing items,Xử lý tình huống thực tế: lost property & missing items — asking for help with lost property & missing items,deal with an everyday problem involving asking for help with lost property & missing items; complete the exchange naturally at B1.,520–700,4,Ms Lan,Mr David (or another context-appropriate named Mr/Ms character),PLANNED
1206,B1,Emergencies,asking for help with emergencies & asking for help,Dealing with an everyday problem involving asking for help with emergencies & asking for help,Xử lý tình huống thực tế: emergencies & asking for help — asking for help with emergencies & asking for help,deal with an everyday problem involving asking for help with emergencies & asking for help; complete the exchange naturally at B1.,520–700,4,Ms Lan,Ms Emma (or another context-appropriate named Mr/Ms character),PLANNED
1207,B1,Public Life,"asking for help with rules, permission & public places","Dealing with an everyday problem involving asking for help with rules, permission & public places","Xử lý tình huống thực tế: rules, permission & public places — asking for help with rules, permission & public places","deal with an everyday problem involving asking for help with rules, permission & public places; complete the exchange naturally at B1.",520–700,4,Ms Lan,Mr James (or another context-appropriate named Mr/Ms character),PLANNED
1208,B1,Housing,asking for help with renting & moving home,Dealing with an everyday problem involving asking for help with renting & moving home,Xử lý tình huống thực tế: renting & moving home — asking for help with renting & moving home,deal with an everyday problem involving asking for help with renting & moving home; complete the exchange naturally at B1.,520–700,4,Ms Lan,Ms Sarah (or another context-appropriate named Mr/Ms character),PLANNED
1209,B1,Housing,asking for help with utilities & household bills,Dealing with an everyday problem involving asking for help with utilities & household bills,Xử lý tình huống thực tế: utilities & household bills — asking for help with utilities & household bills,deal with an everyday problem involving asking for help with utilities & household bills; complete the exchange naturally at B1.,520–700,4,Ms Lan,Mr Daniel (or another context-appropriate named Mr/Ms character),PLANNED
1210,B1,Public Services,asking for help with government/public services,Dealing with an everyday problem involving asking for help with government/public services,Xử lý tình huống thực tế: government/public services — asking for help with government/public services,deal with an everyday problem involving asking for help with government/public services; complete the exchange naturally at B1.,520–700,4,Ms Lan,Ms Olivia (or another context-appropriate named Mr/Ms character),PLANNED
1211,B1,Culture,asking for help with cultural differences & etiquette,Dealing with an everyday problem involving asking for help with cultural differences & etiquette,Xử lý tình huống thực tế: cultural differences & etiquette — asking for help with cultural differences & etiquette,deal with an everyday problem involving asking for help with cultural differences & etiquette; complete the exchange naturally at B1.,520–700,4,Ms Lan,Mr Thomas (or another context-appropriate named Mr/Ms character),PLANNED
1212,B1,Interaction,asking for help with opinions & preferences,Dealing with an everyday problem involving asking for help with opinions & preferences,Xử lý tình huống thực tế: opinions & preferences — asking for help with opinions & preferences,deal with an everyday problem involving asking for help with opinions & preferences; complete the exchange naturally at B1.,520–700,4,Ms Lan,Ms Sophie (or another context-appropriate named Mr/Ms character),PLANNED
1213,B1,Interaction,"asking for help with plans, decisions & changes","Dealing with an everyday problem involving asking for help with plans, decisions & changes","Xử lý tình huống thực tế: plans, decisions & changes — asking for help with plans, decisions & changes","deal with an everyday problem involving asking for help with plans, decisions & changes; complete the exchange naturally at B1.",520–700,4,Ms Lan,Mr Michael (or another context-appropriate named Mr/Ms character),PLANNED
1214,B1,Interaction,asking for help with explaining experiences & stories,Dealing with an everyday problem involving asking for help with explaining experiences & stories,Xử lý tình huống thực tế: explaining experiences & stories — asking for help with explaining experiences & stories,deal with an everyday problem involving asking for help with explaining experiences & stories; complete the exchange naturally at B1.,520–700,4,Ms Lan,Ms Grace (or another context-appropriate named Mr/Ms character),PLANNED
1215,B1,Interaction,asking for help with clarifying & repairing communication,Dealing with an everyday problem involving asking for help with clarifying & repairing communication,Xử lý tình huống thực tế: clarifying & repairing communication — asking for help with clarifying & repairing communication,deal with an everyday problem involving asking for help with clarifying & repairing communication; complete the exchange naturally at B1.,520–700,4,Ms Lan,Mr Henry (or another context-appropriate named Mr/Ms character),PLANNED
1216,B1,Interaction,asking for help with disagreement & boundaries,Dealing with an everyday problem involving asking for help with disagreement & boundaries,Xử lý tình huống thực tế: disagreement & boundaries — asking for help with disagreement & boundaries,deal with an everyday problem involving asking for help with disagreement & boundaries; complete the exchange naturally at B1.,520–700,4,Ms Lan,Ms Anna (or another context-appropriate named Mr/Ms character),PLANNED
1217,B1,Interaction,asking for help with negotiation & compromise,Dealing with an everyday problem involving asking for help with negotiation & compromise,Xử lý tình huống thực tế: negotiation & compromise — asking for help with negotiation & compromise,deal with an everyday problem involving asking for help with negotiation & compromise; complete the exchange naturally at B1.,520–700,4,Ms Lan,Mr David (or another context-appropriate named Mr/Ms character),PLANNED
1218,B1,Interaction,asking for help with unexpected situations & problem solving,Dealing with an everyday problem involving asking for help with unexpected situations & problem solving,Xử lý tình huống thực tế: unexpected situations & problem solving — asking for help with unexpected situations & problem solving,deal with an everyday problem involving asking for help with unexpected situations & problem solving; complete the exchange naturally at B1.,520–700,4,Ms Lan,Ms Emma (or another context-appropriate named Mr/Ms character),PLANNED
1219,B1,Society,asking for help with news & everyday current events,Dealing with an everyday problem involving asking for help with news & everyday current events,Xử lý tình huống thực tế: news & everyday current events — asking for help with news & everyday current events,deal with an everyday problem involving asking for help with news & everyday current events; complete the exchange naturally at B1.,520–700,4,Ms Lan,Mr James (or another context-appropriate named Mr/Ms character),PLANNED
1220,B1,Society,asking for help with environment & local issues,Dealing with an everyday problem involving asking for help with environment & local issues,Xử lý tình huống thực tế: environment & local issues — asking for help with environment & local issues,deal with an everyday problem involving asking for help with environment & local issues; complete the exchange naturally at B1.,520–700,4,Ms Lan,Ms Sarah (or another context-appropriate named Mr/Ms character),PLANNED
1221,B1,Personal Identity,your age,Dealing with an everyday problem involving your age,Xử lý tình huống thực tế: personal identity & introductions — your age,deal with an everyday problem involving your age; complete the exchange naturally at B1.,520–700,4,Ms Lan,Mr Daniel (or another context-appropriate named Mr/Ms character),PLANNED
1222,B1,Social Basics,saying sorry,Dealing with an everyday problem involving saying sorry,Xử lý tình huống thực tế: greetings & basic social contact — saying sorry,deal with an everyday problem involving saying sorry; complete the exchange naturally at B1.,520–700,4,Ms Lan,Ms Olivia (or another context-appropriate named Mr/Ms character),PLANNED
1223,B1,Numbers and Time,the day of the week,Dealing with an everyday problem involving the day of the week,"Xử lý tình huống thực tế: numbers, dates & time — the day of the week",deal with an everyday problem involving the day of the week; complete the exchange naturally at B1.,520–700,4,Ms Lan,Mr Thomas (or another context-appropriate named Mr/Ms character),PLANNED
1224,B1,Home,opening or closing something,Dealing with an everyday problem involving opening or closing something,Xử lý tình huống thực tế: home & household — opening or closing something,deal with an everyday problem involving opening or closing something; complete the exchange naturally at B1.,520–700,4,Ms Lan,Ms Sophie (or another context-appropriate named Mr/Ms character),PLANNED
1225,B1,Family,where a family member is,Dealing with an everyday problem involving where a family member is,Xử lý tình huống thực tế: family & relationships — where a family member is,deal with an everyday problem involving where a family member is; complete the exchange naturally at B1.,520–700,4,Ms Lan,Mr Michael (or another context-appropriate named Mr/Ms character),PLANNED
1226,B1,Food,asking what something is,Dealing with an everyday problem involving asking what something is,Xử lý tình huống thực tế: food & drink — asking what something is,deal with an everyday problem involving asking what something is; complete the exchange naturally at B1.,520–700,4,Ms Lan,Ms Grace (or another context-appropriate named Mr/Ms character),PLANNED
1227,B1,Shopping,a change or choice involving shopping & payments,Dealing with an everyday problem involving a change or choice involving shopping & payments,Xử lý tình huống thực tế: shopping & payments — a change or choice involving shopping & payments,deal with an everyday problem involving a change or choice involving shopping & payments; complete the exchange naturally at B1.,520–700,4,Ms Lan,Mr Henry (or another context-appropriate named Mr/Ms character),PLANNED
1228,B1,Clothing,a change or choice involving clothing & personal items,Dealing with an everyday problem involving a change or choice involving clothing & personal items,Xử lý tình huống thực tế: clothing & personal items — a change or choice involving clothing & personal items,deal with an everyday problem involving a change or choice involving clothing & personal items; complete the exchange naturally at B1.,520–700,4,Ms Lan,Ms Anna (or another context-appropriate named Mr/Ms character),PLANNED
1229,B1,Neighbourhood,a change or choice involving neighbourhood & directions,Dealing with an everyday problem involving a change or choice involving neighbourhood & directions,Xử lý tình huống thực tế: neighbourhood & directions — a change or choice involving neighbourhood & directions,deal with an everyday problem involving a change or choice involving neighbourhood & directions; complete the exchange naturally at B1.,520–700,4,Ms Lan,Mr David (or another context-appropriate named Mr/Ms character),PLANNED
1230,B1,Transport,a change or choice involving public transport,Dealing with an everyday problem involving a change or choice involving public transport,Xử lý tình huống thực tế: public transport — a change or choice involving public transport,deal with an everyday problem involving a change or choice involving public transport; complete the exchange naturally at B1.,520–700,4,Ms Lan,Ms Emma (or another context-appropriate named Mr/Ms character),PLANNED
1231,B1,Transport,a change or choice involving taxi & ride services,Dealing with an everyday problem involving a change or choice involving taxi & ride services,Xử lý tình huống thực tế: taxi & ride services — a change or choice involving taxi & ride services,deal with an everyday problem involving a change or choice involving taxi & ride services; complete the exchange naturally at B1.,520–700,4,Ms Lan,Mr James (or another context-appropriate named Mr/Ms character),PLANNED
